begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
04:01.1,04:03.0,11,,,,Husband_W01_AH,Husband_W01_AH,那我不知道她的信息,nà wǒ bù zhīdào tā de xìnxī,Then I don't know her information,hostess,,,,,,,,,,,,,,,,,,,,,
04:03.0,04:04.9,11,,,,,Husband_W01_AH,你说我该不该联系她,nǐ shuō wǒ Gāi bù gāi liánxì tā,You tell should I contact her or not,hostess,IVoE,,,,,,,,,self,+ve,judgement,invoke,rhetorical question,,该不该,,,expand:entertain,你说,
04:04.9,04:08.5,11,,,,,Husband_W01_AH,安全..我的目的就是..保证她安全到达目的地,ānquán.. Wǒ de mùdì jiùshì.. Bǎozhèng tā ānquán dàodá mùdì de,Safety.. My purpose is to .. ensure that she arrives at her destination safely,hostess,IVoE,,,,,,,,,self,+ve,judgement,inscribe,,,保证安全,,,contract:proclaim,目的是,
04:08.5,04:09.7,12,,,,Wife_W01_WW,Wife_W01_WW,他..前面打我会接,Tā.. Qiánmiàn dǎ wǒ huì jiē ,He.. previously I would answer his call,hostess,,该联系她,IVoE,前面打我接,reorient to an alternative VE,reorient,VoE,Yes,VoE; IVoE,self,+ve,judgement,invoke,contrast,,前面,,,contract:proclaim,会,
04:09.7,04:11.1,12,,,,,Wife_W01_WW,我会告诉他我在哪里,wǒ huì gàosù tā wǒ zài nǎlǐ ,I would tell him where I was,hostess,,,,,,,,,,self,+ve,judgement,invoke,quotation:self,,告诉,,,contract:proclaim,会,
04:11.1,04:12.6,12,,,,,Wife_W01_WW,但是他就是不相信,dànshì tā jiùshì bù xiāngxìn,But he just didn't believe,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不,,,contract:disclaim,但是,
04:13.7,04:27.9,12,,,,voiceover,,voiceover,,,,,,,,,,,,,,,,,,,,,,,,
04:27.9,04:32.2,13,,,,Wife_W01_WW,Wife_W01_WW,如果人家来我们这边喝茶来我们这边坐他看到朋友来了他所有的事情不做,Rúguǒ rénjiā lái wǒmen zhè biān hē chá lái wǒmen zhè biān zuò tā kàn dào péngyǒu láile tā suǒyǒu de shìqíng bù zuò ,If someone visited our company to drink tea came to our office and sat there when he saw a friend come he would not do anything,hostess,,,,,,,,,,,,,,,,,,,,,
04:32.2,04:34.0,13,,,,,Wife_W01_WW,他也就一直跟着屁股后面,tā yě jiù yīzhí gēnzhe pìgu hòumiàn ,He just followed behind the ass of the friend,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,跟屁股后面,up:isolated,一直,contract:disclaim,就,
04:34.0,04:35.9,13,,,,,Wife_W01_WW,再重要的事情他都可以丢下不管,zài zhòngyào de shìqíng tā dōu kěyǐ diū xià bùguǎn ,No matter how important the business was he could just leave it behind,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,丢下不管,up:isolated,再重要的事,contract:disclaim,都,
04:35.9,04:37.6,14,,,,Hostess_W01,Hostess_W01,来的这个朋友是什么人,lái de zhège péngyǒu shì shénme rén ,Who was this visiting friend,wife,,,,,,,,,,,,,,,,,,,,,
04:37.6,04:40.0,15,,,,Wife_W01_WW,Wife_W01_WW,当然是跟我们公司有业务来往的,dāngrán shì gēn wǒmen gōngsī yǒu yèwù láiwǎng de ,Of course someone had a business relationship with our company,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,有业务,,,contract:proclaim,当然,
04:40.0,04:41.4,15,,,,,Wife_W01_WW,男的,nán de ,Male,hostess,,,,,,,,,,,,,,,,,,,,,
04:42.3,04:46.2,16,O,,,Hostess_W01,Hostess_W01,他这样子放下[手中]的活不干过来是陪客人呢还是来干嘛呢,tā zhèyàng zi fàngxià [shǒuzhōng] de huó bù gān guòlái shì péi kèrén ne háishì lái gàn ma ne,He put down the work [left the work behind] like this did he do this to host the guests or to do something else,wife,,,,,,,,,,,,,,,,,,,,,
04:42.4,04:42.5,17,O,I,,Wife_W01_WW,Wife_W01_WW,[他],Tā ,He,hostess,,,,,,,,,,,,,,,,,,,,,
04:46.2,04:47.2,17,,,,,Wife_W01_WW,他不跟人家讲话的,tā bù gēn rénjiā jiǎnghuà de,He didn't talk to the guest,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不讲话,,,contract:proclaim,的,
04:47.2,04:48.4,17,,,,,Wife_W01_WW,基本上是不跟人家讲话的, jīběn shàng shì bù gēn rénjiā jiǎnghuà de ,He almost never talked to the guest,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不讲话,down:isolated,基本上,expand:entertain,基本上,
04:48.4,04:49.2,17,,,,,Wife_W01_WW,就是坐在那里,jiùshì zuò zài nàlǐ ,He just sat there,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,坐着,,,contract:proclaim,就,
04:49.2,04:51.4,17,,,,,Wife_W01_WW,就是反正看你们两个聊天,jiùshì fǎnzhèng kàn nǐmen liǎng gè liáotiān ,Anyway he just sat there and watched you two talking,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,看,,,contract:proclaim,反正,
