begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
12:38.7,12:39.7,60,,,,Husband_W02_AH,Husband_W02_AH,嗯,ń,Hmm,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,又联系,,,monoglossic,,
12:40.0,12:42.6,61,,,,Hostess_W02,Hostess_W02,她转发的是..来自那个男的朋友圈里的,tā zhuǎnfā de shì.. Láizì nàgè nán de péngyǒu quān lǐ de ,The post she forwarded was..from that man’s Moment,husband,,,,,,,,,,,,,,,,,,,,,
12:42.3,12:42.8,62,,,,Husband_W02_AH,Husband_W02_AH,对,duì,Correct,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,affirmation,,来自男的,,,monoglossic,,
12:42.6,12:48.9,63,,,,Hostess_W02,Hostess_W02,那你为什么你会觉得..她只能转自于那个男的..而不是转自于其他人那里呢,Nà nǐ wèishéme nǐ huì juédé.. Tā zhǐ néng zhuǎnzì yú nàgè nán de.. Ér bùshì zhuǎnzì yú qítā rén nàlǐ ne ,Then why did you think that..she could only get the message from that man.. Rather than from other people,husband,,,,,,,,,,,,,,,,,,,,,
12:49.2,12:50.7,64,,,,Husband_W02_AH,Husband_W02_AH,我们是在外地的,wǒmen shì zài wàidì de  zhège xìnxī ma ér shì nǐ kàn bù dào de bù.. Huò bù dào,We lived out of town,hostess,VoE,,,,,,,,,,,,,,,,,,,,
12:50.7,12:52.8,64,,,,,Husband_W02_AH,他这个信息..我们是..本地的,tā zhège xìnxī.. Wǒmen shì.. Běndì de ,This information..we were…was local,hostess,VoE,,,,,,,,,,,,,,,,,,,,
12:52.8,12:54.6,64,,,,,Husband_W02_AH,牵连不到..一起的,qiānlián bù dào.. Yīqǐ de ,(My wife) couldn't get the information.. had access (to the message),hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不,,,contract:proclaim,的,
12:56.6,12:59.5,65,,,,Hostess_W02,Hostess_W02,她不可以从别的朋友那里..获取到这个信息吗,tā bù kěyǐ cóng bié de péngyǒu nàlǐ.. Huòqǔ dào zhège xìnxī ma ,Couldn't she get this information.. from other friends,husband,,,,,,,,,,,,,,,,,,,,,
12:59.5,13:01.0,65,,,,,Hostess_W02,而是你看不到的,ér shì nǐ kàn bù dào de ,Some friends you couldn't see (their Moments),husband,,,,,,,,,,,,,,,,,,,,,
12:59.6,13:01.9,66,,,,Husband_W02_AH,Husband_W02_AH,不..获不到,bù.. Huò bù dào,No.. She couldn't get it (from elsewhere),hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不,,,monoglossic,,
13:02.1,13:04.0,67,,,,Wife_W02_WW,Wife_W02_WW,我..朋友圈翻了一圈,Wǒ.. Péngyǒu quān fānle yī quān ,I.. surveyed my WeChat friends,hostess,VoE,转朋友圈,VoE,朋友圈,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE,,,,,,,,,,,,
13:04.0,13:06.5,67,,,,,Wife_W02_WW,不是开宾馆的..就是做生意的,bùshì kāi bīnguǎn de.. Jiùshì zuò shēngyì de ,They either operate a hotel.. or do some business,hostess,,,,,,,,,,,,,,,,,,,,,
13:06.5,13:08.9,67,,,,,Wife_W02_WW,生意不好做..嗯..这样转了一圈,shēngyì bù hǎo zuò.. Ń.. Zhèyàng zhuǎnle yī quān ,Business is not good.. um.. Messages like this will circulate around,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
13:08.9,13:09.8,68,,,,Husband_W02_AH,Husband_W02_AH,跟你说清楚嘛,gēn nǐ shuō qīngchǔ ma ,I tell you clearly,hostess,VoE,朋友圈,VoE,信息内容,replace with an alternative VE,replace,VoE,No,VoE,,,,,,,,,,,,
13:09.8,13:13.1,68,,,,,Husband_W02_AH,买房子..关于车库是免费的,mǎi fángzi.. Guānyú chēkù shì miǎnfèi de ,It's about buying a house..about getting a garage free,hostess,,,,,,,,,,,,,,,,,,,,,
13:13.1,13:16.2,68,,,,,Husband_W02_AH,第二天信息...我记得清清楚楚,dì èr tiān xìnxī... Wǒ jìdé qīng qīngchǔ chǔ,This was the next day's message...I remember it clearly,hostess,IVoE,,,,,,,,,self,+ve,judgement,inscribe,,,清楚,up:isolated,清清楚楚,monoglossic,,
13:16.2,13:18.5,68,,,,,Husband_W02_AH,所以说..我当时是没忍下来,Suǒyǐ shuō.. Wǒ dāngshí shì méi rěn xiàlái ,So.. I couldn't hold my anger at the time,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,没忍,,,contract:proclaim,所以,
13:18.5,13:21.5,68,,,,,Husband_W02_AH,我这我发了火,wǒ zhè wǒ fāle huǒ ,I this I exploded,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,发火,,,monoglossic,,
13:21.5,13:23.3,68,,,,,Husband_W02_AH,当时说...我是拉她的脚,dāngshí shuō... Wǒ shì lā tā de jiǎo ,At that time..I pulled her feet,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,拉脚,,,contract:proclaim,是,
13:23.3,13:24.8,68,,,,,Husband_W02_AH,我把她推到床上..拉她的脚,wǒ bǎ tā tuī dào chuángshàng.. Lā tā de jiǎo,I pushed her onto the bed.. I pulled her feet,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,拉脚,,,monoglossic,,
13:24.8,13:26.2,69,,,,Wife_W02_WW,Wife_W02_WW,拳头蹬我脚了没,Quántóu dēng wǒ jiǎole méi,Didn't you punch my feet with your fists,antagonist,VoE,拉脚,VoE,蹬,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,evoke,,拳头,,,contract:proclaim,没,
13:26.1,13:26.6,70,,,,Husband_W02_AH,Husband_W02_AH,嗯,N,Hmm,antagonist,,,,,,,,,,,,,,,,,,,,,
13:26.2,13:27.7,71,,,,Wife_W02_WW,Wife_W02_WW,你打我腿了没,Nǐ dǎ wǒ tuǐle méi,Didn't you beat my leg,antagonist,VoE,拉脚,VoE,蹬,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,inscribe,,,打,,,contract:proclaim,没,
13:27.7,13:30.2,71,,,,,Wife_W02_WW,我..怎么做..你都不信任我,Wǒ.. Zěnme zuò.. Nǐ dōu bù xìnrèn wǒ ,I..whatever I do..you will not trust me,antagonist,IVoE,拉脚,VoE,不信任,reorient to an interpretation /attitudinalize the VE,reorient,IVoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,denial,,不信任,up:isolated,怎么都,contract:proclaim,怎么……都,
13:30.2,13:33.1,72,,,,Husband_W02_AH,Husband_W02_AH,问题是你..所..所做的事情..没法让我信任,wèntí shì nǐ.. Suǒ.. Suǒ zuò de shìqíng.. Méi fǎ ràng wǒ xìnrèn,The point is that you.. What..what you have done..can't make me trust you,antagonist,,不信任,ExAss,没法信任,reorient to an interpretation,reorient,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,denial,,没法,up:isolated,所做的事情,contract:disclaim,问题是,
13:33.1,13:49.0,72,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
13:49.0,13:50.6,73,,,,Husband_W02_AH,Husband_W02_AH,旅游是这种情况,Lǚyóu shì zhè zhǒng qíngkuàng ,The tourism incident was something like this,hostess,,,,,,,,,,,,,,,,,,,,,
